date,open,high,low,close,volume
2021-01-19,1.379,1.384,1.344,1.353,633555493.0
2021-01-20,1.362,1.37,1.337,1.364,575171874.0
2021-01-21,1.365,1.373,1.347,1.363,535157356.0
2021-01-22,1.364,1.371,1.315,1.346,719101528.0
2021-01-25,1.318,1.355,1.309,1.337,758340320.0
2021-01-26,1.334,1.347,1.3,1.311,604669035.0
2021-01-27,1.31,1.323,1.282,1.308,371400590.0
2021-01-28,1.288,1.304,1.254,1.257,420146997.0
2021-01-29,1.268,1.274,1.213,1.23,441830339.0
2021-02-01,1.229,1.245,1.226,1.244,280132848.0
2021-02-02,1.246,1.255,1.233,1.255,253745127.0
2021-02-03,1.255,1.256,1.206,1.207,391946001.0
2021-02-04,1.196,1.215,1.155,1.206,549728324.0
2021-02-05,1.206,1.21,1.172,1.175,349431769.0
2021-02-08,1.177,1.22,1.177,1.212,363355271.0
2021-02-09,1.213,1.233,1.206,1.232,312670012.0
2021-02-10,1.232,1.239,1.213,1.237,317846431.0
2021-02-18,1.266,1.286,1.245,1.265,517281677.0
2021-02-19,1.251,1.259,1.226,1.256,408762506.0
2021-02-22,1.26,1.266,1.224,1.225,388811163.0
2021-02-23,1.215,1.228,1.199,1.216,279677607.0
2021-02-24,1.222,1.254,1.209,1.221,491079723.0
2021-02-25,1.23,1.232,1.205,1.208,274307400.0
2021-02-26,1.183,1.203,1.178,1.182,309111683.0
2021-03-01,1.193,1.229,1.19,1.227,340685211.0
2021-03-02,1.235,1.243,1.216,1.23,367189361.0
2021-03-03,1.227,1.236,1.208,1.235,257425158.0
2021-03-04,1.23,1.242,1.189,1.195,470357539.0
2021-03-05,1.17,1.192,1.17,1.184,296245254.0
2021-03-08,1.192,1.195,1.13,1.134,414123235.0
2021-03-09,1.128,1.132,1.07,1.074,429800318.0
2021-03-10,1.095,1.099,1.071,1.072,252269538.0
2021-03-11,1.071,1.117,1.065,1.105,426564450.0
2021-03-12,1.111,1.111,1.079,1.088,230997760.0
2021-03-15,1.077,1.077,1.039,1.045,325532089.0
2021-03-16,1.048,1.055,1.025,1.038,224267005.0
2021-03-17,1.037,1.067,1.035,1.064,286529186.0
2021-03-18,1.068,1.072,1.059,1.066,177573900.0
2021-03-19,1.049,1.072,1.044,1.06,222063608.0
2021-03-22,1.055,1.066,1.05,1.063,146417708.0
2021-03-23,1.069,1.086,1.06,1.065,213968609.0
2021-03-24,1.059,1.06,1.039,1.041,200128562.0
2021-03-25,1.033,1.055,1.03,1.046,200070345.0
2021-03-26,1.051,1.07,1.046,1.067,215580413.0
2021-03-29,1.071,1.089,1.067,1.071,215775431.0
2021-03-30,1.07,1.082,1.067,1.075,151550727.0
2021-03-31,1.074,1.074,1.056,1.07,145040236.0
2021-04-01,1.072,1.113,1.071,1.11,404543058.0
2021-04-02,1.12,1.166,1.12,1.164,554972772.0
2021-04-06,1.176,1.179,1.147,1.159,248766552.0
2021-04-07,1.154,1.162,1.137,1.161,253360100.0
2021-04-08,1.153,1.173,1.147,1.157,223121700.0
2021-04-09,1.157,1.169,1.145,1.149,194318420.0
2021-04-12,1.15,1.171,1.12,1.128,255565585.0
2021-04-13,1.12,1.14,1.117,1.122,180258918.0
2021-04-14,1.123,1.131,1.119,1.128,160659807.0
2021-04-15,1.128,1.128,1.102,1.127,194570644.0
2021-04-16,1.125,1.129,1.108,1.12,179748311.0
2021-04-19,1.113,1.15,1.106,1.148,255557659.0
2021-04-20,1.138,1.146,1.133,1.135,170773008.0
2021-04-21,1.127,1.143,1.123,1.137,153343637.0
2021-04-22,1.137,1.156,1.135,1.149,222197934.0
2021-04-23,1.148,1.16,1.144,1.154,180655187.0
2021-04-26,1.159,1.184,1.152,1.153,326060809.0
2021-04-27,1.15,1.161,1.135,1.144,182933700.0
2021-04-28,1.141,1.166,1.13,1.166,210276169.0
2021-04-29,1.166,1.186,1.163,1.168,211650200.0
2021-04-30,1.166,1.178,1.159,1.165,189623212.0
2021-05-06,1.16,1.171,1.148,1.153,168583776.0
2021-05-07,1.154,1.166,1.102,1.103,339745319.0
2021-05-10,1.1,1.1,1.081,1.086,184093628.0
2021-05-11,1.08,1.095,1.063,1.095,219842070.0
2021-05-12,1.09,1.111,1.075,1.111,202560500.0
2021-05-13,1.095,1.12,1.091,1.105,184780334.0
2021-05-14,1.113,1.134,1.099,1.13,382891801.0
2021-05-17,1.132,1.156,1.132,1.141,239843626.0
2021-05-18,1.132,1.141,1.13,1.135,119688192.0
2021-05-19,1.134,1.153,1.131,1.152,196573454.0
2021-05-20,1.148,1.156,1.142,1.149,201489437.0
2021-05-21,1.151,1.16,1.137,1.138,136550900.0
2021-05-24,1.137,1.152,1.121,1.151,172319935.0
2021-05-25,1.152,1.188,1.15,1.184,359086618.0
2021-05-26,1.185,1.193,1.173,1.174,187103255.0
2021-05-27,1.172,1.236,1.171,1.223,511500765.0
2021-05-28,1.222,1.229,1.204,1.214,265993540.0
2021-05-31,1.217,1.244,1.217,1.241,274892852.0
2021-06-01,1.24,1.271,1.226,1.255,334018245.0
2021-06-02,1.258,1.261,1.228,1.237,360591094.0
2021-06-03,1.236,1.241,1.216,1.222,234072833.0
2021-06-04,1.215,1.263,1.212,1.251,332990402.0
2021-06-07,1.276,1.297,1.268,1.278,379691641.0
2021-06-08,1.285,1.287,1.258,1.269,269305427.0
2021-06-09,1.265,1.288,1.265,1.282,298236423.0
2021-06-10,1.28,1.302,1.276,1.299,283724061.0
2021-06-11,1.299,1.3,1.272,1.273,238409969.0
2021-06-15,1.271,1.314,1.27,1.296,382569726.0
2021-06-16,1.299,1.326,1.258,1.26,403249607.0
2021-06-17,1.258,1.38,1.258,1.369,832409996.0
2021-06-18,1.375,1.396,1.355,1.384,591388469.0
2021-06-21,1.379,1.401,1.358,1.39,384220842.0
2021-06-22,1.391,1.399,1.358,1.384,340977969.0
2021-06-23,1.384,1.468,1.382,1.447,597604309.0
2021-06-24,1.441,1.45,1.41,1.419,340876484.0
2021-06-25,1.42,1.44,1.396,1.439,430686269.0
2021-06-28,1.435,1.484,1.432,1.462,351286605.0
2021-06-29,1.459,1.464,1.421,1.445,398643086.0
2021-06-30,1.458,1.53,1.457,1.515,667587906.0
2021-07-01,1.515,1.518,1.471,1.474,554948615.0
2021-07-02,1.462,1.477,1.434,1.446,444995388.0
2021-07-05,1.464,1.519,1.464,1.518,488789115.0
2021-07-06,1.523,1.546,1.451,1.49,537413221.0
2021-07-07,1.462,1.531,1.439,1.523,519669872.0
2021-07-08,1.521,1.585,1.521,1.575,500808539.0
2021-07-09,1.56,1.574,1.513,1.56,525132750.0
2021-07-12,1.566,1.594,1.53,1.576,646482843.0
2021-07-13,1.574,1.574,1.481,1.497,786801278.0
2021-07-14,1.485,1.511,1.472,1.48,488333629.0
