pool,pool_name,code,name,secucode,type
hs300,沪深300,000001,平安银行,000001.SZ,1
hs300,沪深300,000002,万科A,000002.SZ,1
hs300,沪深300,000063,中兴通讯,000063.SZ,1
hs300,沪深300,000100,TCL科技,000100.SZ,1
hs300,沪深300,000157,中联重科,000157.SZ,1
hs300,沪深300,000166,申万宏源,000166.SZ,1
hs300,沪深300,000301,东方盛虹,000301.SZ,1
hs300,沪深300,000333,美的集团,000333.SZ,1
hs300,沪深300,000338,潍柴动力,000338.SZ,1
hs300,沪深300,000408,藏格矿业,000408.SZ,1
hs300,沪深300,000425,徐工机械,000425.SZ,1
hs300,沪深300,000538,云南白药,000538.SZ,1
hs300,沪深300,000568,泸州老窖,000568.SZ,1
hs300,沪深300,000596,古井贡酒,000596.SZ,1
hs300,沪深300,000617,中油资本,000617.SZ,1
hs300,沪深300,000625,长安汽车,000625.SZ,1
hs300,沪深300,000630,铜陵有色,000630.SZ,1
hs300,沪深300,000651,格力电器,000651.SZ,1
hs300,沪深300,000657,中钨高新,000657.SZ,1
hs300,沪深300,000708,中信特钢,000708.SZ,1
hs300,沪深300,000725,京东方A,000725.SZ,1
hs300,沪深300,000768,中航西飞,000768.SZ,1
hs300,沪深300,000776,广发证券,000776.SZ,1
hs300,沪深300,000792,盐湖股份,000792.SZ,1
hs300,沪深300,000807,云铝股份,000807.SZ,1
hs300,沪深300,000858,五粮液,000858.SZ,1
hs300,沪深300,000895,双汇发展,000895.SZ,1
hs300,沪深300,000938,紫光股份,000938.SZ,1
hs300,沪深300,000963,华东医药,000963.SZ,1
hs300,沪深300,000975,山金国际,000975.SZ,1
hs300,沪深300,000977,浪潮信息,000977.SZ,1
hs300,沪深300,000988,华工科技,000988.SZ,1
hs300,沪深300,000999,华润三九,000999.SZ,1
hs300,沪深300,001280,中国铀业,001280.SZ,1
hs300,沪深300,001391,国货航,001391.SZ,1
hs300,沪深300,001965,招商公路,001965.SZ,1
hs300,沪深300,001979,招商蛇口,001979.SZ,1
hs300,沪深300,002001,新和成,002001.SZ,1
hs300,沪深300,002027,分众传媒,002027.SZ,1
hs300,沪深300,002028,思源电气,002028.SZ,1
hs300,沪深300,002049,紫光国微,002049.SZ,1
hs300,沪深300,002050,三花智控,002050.SZ,1
hs300,沪深300,002074,国轩高科,002074.SZ,1
hs300,沪深300,002142,宁波银行,002142.SZ,1
hs300,沪深300,002179,中航光电,002179.SZ,1
hs300,沪深300,002202,金风科技,002202.SZ,1
hs300,沪深300,002230,科大讯飞,002230.SZ,1
hs300,沪深300,002236,大华股份,002236.SZ,1
hs300,沪深300,002241,歌尔股份,002241.SZ,1
hs300,沪深300,002304,洋河股份,002304.SZ,1
hs300,沪深300,002311,海大集团,002311.SZ,1
hs300,沪深300,002352,顺丰控股,002352.SZ,1
hs300,沪深300,002353,杰瑞股份,002353.SZ,1
hs300,沪深300,002371,北方华创,002371.SZ,1
hs300,沪深300,002384,东山精密,002384.SZ,1
hs300,沪深300,002415,海康威视,002415.SZ,1
hs300,沪深300,002422,科伦药业,002422.SZ,1
hs300,沪深300,002460,赣锋锂业,002460.SZ,1
hs300,沪深300,002463,沪电股份,002463.SZ,1
hs300,沪深300,002466,天齐锂业,002466.SZ,1
hs300,沪深300,002475,立讯精密,002475.SZ,1
hs300,沪深300,002493,荣盛石化,002493.SZ,1
hs300,沪深300,002532,天山铝业,002532.SZ,1
hs300,沪深300,002558,巨人网络,002558.SZ,1
hs300,沪深300,002594,比亚迪,002594.SZ,1
hs300,沪深300,002600,领益智造,002600.SZ,1
hs300,沪深300,002602,世纪华通,002602.SZ,1
hs300,沪深300,002625,光启技术,002625.SZ,1
hs300,沪深300,002648,卫星化学,002648.SZ,1
hs300,沪深300,002709,天赐材料,002709.SZ,1
hs300,沪深300,002714,牧原股份,002714.SZ,1
hs300,沪深300,002736,国信证券,002736.SZ,1
hs300,沪深300,002837,英维克,002837.SZ,1
hs300,沪深300,002916,深南电路,002916.SZ,1
hs300,沪深300,002920,德赛西威,002920.SZ,1
hs300,沪深300,002938,鹏鼎控股,002938.SZ,1
hs300,沪深300,003816,中国广核,003816.SZ,1
hs300,沪深300,300014,亿纬锂能,300014.SZ,1
hs300,沪深300,300015,爱尔眼科,300015.SZ,1
hs300,沪深300,300033,同花顺,300033.SZ,1
hs300,沪深300,300059,东方财富,300059.SZ,1
hs300,沪深300,300122,智飞生物,300122.SZ,1
hs300,沪深300,300124,汇川技术,300124.SZ,1
hs300,沪深300,300251,光线传媒,300251.SZ,1
hs300,沪深300,300274,阳光电源,300274.SZ,1
hs300,沪深300,300308,中际旭创,300308.SZ,1
hs300,沪深300,300316,晶盛机电,300316.SZ,1
hs300,沪深300,300394,天孚通信,300394.SZ,1
hs300,沪深300,300408,三环集团,300408.SZ,1
hs300,沪深300,300413,芒果超媒,300413.SZ,1
hs300,沪深300,300418,昆仑万维,300418.SZ,1
hs300,沪深300,300433,蓝思科技,300433.SZ,1
hs300,沪深300,300442,润泽科技,300442.SZ,1
hs300,沪深300,300450,先导智能,300450.SZ,1
hs300,沪深300,300476,胜宏科技,300476.SZ,1
hs300,沪深300,300498,温氏股份,300498.SZ,1
hs300,沪深300,300502,新易盛,300502.SZ,1
hs300,沪深300,300628,亿联网络,300628.SZ,1
hs300,沪深300,300661,圣邦股份,300661.SZ,1
hs300,沪深300,300750,宁德时代,300750.SZ,1
hs300,沪深300,300760,迈瑞医疗,300760.SZ,1
hs300,沪深300,300803,指南针,300803.SZ,1
hs300,沪深300,300832,新产业,300832.SZ,1
hs300,沪深300,300866,安克创新,300866.SZ,1
hs300,沪深300,300896,爱美客,300896.SZ,1
hs300,沪深300,300999,金龙鱼,300999.SZ,1
hs300,沪深300,301165,锐捷网络,301165.SZ,1
hs300,沪深300,301236,软通动力,301236.SZ,1
hs300,沪深300,301269,华大九天,301269.SZ,1
