trade_date,open,high,low,close,volume
2016-06-02,15.76,16.33,15.67,16.03,136297
2016-06-03,16.0,16.23,15.78,16.0,107205
2016-06-06,16.01,16.26,15.83,16.01,103625
2016-06-07,16.0,16.25,15.83,16.11,122674
2016-06-08,16.12,16.26,15.94,16.0,74666
2016-06-13,15.79,15.79,14.74,14.77,141614
2016-06-14,14.65,14.88,14.34,14.64,119935
2016-06-15,14.52,15.15,14.35,15.03,123685
2016-06-16,15.04,15.08,14.68,14.78,102880
2016-06-17,14.83,15.29,14.82,15.24,147416
2016-06-20,15.14,15.48,15.07,15.19,153359
2016-06-21,15.31,15.39,14.89,14.97,86687
2016-06-22,14.9,15.32,14.83,15.28,133898
2016-06-23,15.22,15.38,14.98,15.11,108206
2016-06-24,15.12,15.31,14.44,14.94,122601
2016-06-27,14.83,15.28,14.79,15.23,114772
2016-06-28,15.14,15.55,15.06,15.45,169999
2016-06-29,15.58,15.68,15.39,15.47,111699
2016-06-30,15.51,15.53,15.37,15.45,104343
2016-07-01,15.54,15.67,15.4,15.41,111492
2016-07-04,15.34,15.78,15.24,15.72,135015
2016-07-05,15.73,15.9,15.55,15.82,142214
2016-07-06,15.71,17.52,15.59,17.52,501184
2016-07-07,17.94,18.09,17.02,17.57,593332
2016-07-08,17.31,17.44,16.89,16.92,303913
2016-07-11,17.04,17.32,16.84,16.94,215904
2016-07-12,16.95,17.23,16.66,17.19,199561
2016-07-13,17.14,17.8,17.12,17.66,301355
2016-07-14,17.72,19.09,17.42,18.32,407481
2016-07-15,18.24,20.27,18.22,19.82,602872
2016-07-18,19.61,19.72,19.13,19.47,311475
2016-07-19,19.39,20.66,19.19,19.52,432253
2016-07-20,19.38,19.48,18.76,19.35,244730
2016-07-21,19.29,19.93,19.08,19.44,215704
2016-07-22,20.0,20.64,19.64,19.93,326121
2016-07-25,19.66,20.22,19.52,19.75,159495
2016-07-26,19.64,20.11,19.42,20.05,163609
2016-07-27,20.01,20.1,18.17,18.37,350229
2016-07-28,18.57,19.29,18.35,18.9,192428
2016-07-29,18.83,18.83,18.36,18.54,107009
2016-08-01,18.57,18.82,18.11,18.68,145903
2016-08-02,18.74,18.8,18.39,18.7,92419
2016-08-03,18.74,19.09,18.59,18.88,114744
2016-08-04,18.88,19.1,18.42,18.98,116970
2016-08-05,18.77,20.9,18.65,20.12,325850
2016-08-08,19.92,20.62,19.52,20.37,184829
2016-08-09,20.34,20.53,20.0,20.42,143104
2016-08-10,20.32,20.43,19.99,20.06,116015
2016-08-11,20.33,20.77,19.77,19.89,183175
2016-08-12,20.22,20.46,19.52,19.84,195214
2016-08-15,19.72,20.29,19.27,20.05,225146
2016-08-16,19.95,21.05,19.85,20.31,243245
2016-08-17,20.32,20.33,19.68,20.02,120834
2016-08-18,19.87,20.21,19.62,19.66,117631
2016-08-19,19.75,20.01,19.61,19.69,83645
2016-08-22,19.72,19.88,19.49,19.54,60890
2016-08-23,19.73,19.74,18.72,19.12,97857
2016-08-24,19.1,19.1,18.71,18.92,124571
2016-08-25,18.86,19.08,18.4,19.03,96485
2016-08-26,19.04,19.12,18.77,18.83,79150
2016-08-29,18.87,19.05,18.75,18.81,44976
2016-08-30,18.38,18.68,18.3,18.6,89019
2016-08-31,18.51,18.87,18.42,18.82,57360
2016-09-01,18.74,18.89,18.58,18.6,34825
2016-09-02,18.59,18.77,18.42,18.72,47662
2016-09-05,18.72,18.87,18.35,18.42,55276
2016-09-06,18.5,18.8,18.34,18.62,67005
2016-09-07,18.58,19.16,18.58,18.85,101463
2016-09-08,18.87,18.92,18.7,18.74,41731
2016-09-09,18.79,18.82,18.47,18.5,47921
2016-09-12,18.17,18.2,17.32,17.48,140615
2016-09-13,17.5,17.6,17.34,17.4,36312
2016-09-14,17.4,17.46,17.19,17.22,50022
2016-09-19,17.22,17.69,17.22,17.48,54421
2016-09-20,17.5,17.83,17.29,17.73,53993
2016-09-21,17.72,17.95,17.62,17.88,67633
2016-09-22,17.95,18.1,17.69,17.75,63625
2016-09-23,17.79,17.89,17.22,17.27,85602
2016-09-26,17.31,17.48,17.22,17.36,71980
2016-09-27,17.32,17.55,17.06,17.51,65730
2016-09-28,17.6,17.6,17.32,17.35,36987
2016-09-29,17.3,17.77,17.3,17.64,60871
2016-09-30,17.58,17.78,17.54,17.77,43477
2016-10-10,18.02,19.09,18.01,18.71,166751
2016-10-11,18.71,18.87,18.54,18.77,70474
2016-10-12,18.71,18.71,18.35,18.58,114024
2016-10-13,18.52,18.83,18.44,18.81,91193
2016-10-14,18.77,18.77,18.41,18.6,54434
2016-10-17,18.71,19.76,18.55,19.43,259269
2016-10-18,19.27,19.48,19.02,19.43,124907
2016-10-19,19.28,19.67,19.17,19.34,90928
2016-10-20,19.41,19.77,19.24,19.57,98538
2016-10-21,19.72,20.02,18.97,19.18,130923
2016-10-24,19.27,19.35,18.84,19.0,104807
2016-10-25,19.02,19.1,18.79,19.02,74311
2016-10-26,18.99,19.22,18.62,19.11,109176
2016-10-27,18.98,19.37,18.67,19.21,90914
2016-10-28,19.04,19.28,18.74,18.76,59297
2016-10-31,18.66,18.66,18.24,18.29,83706
2016-11-01,18.42,18.42,17.9,18.18,125429
2016-11-02,18.12,18.19,17.96,18.09,61795
2016-11-03,18.1,18.34,17.9,18.12,90707
2016-11-04,18.04,18.47,18.0,18.14,65634
2016-11-07,18.14,18.27,17.92,18.21,61960
2016-11-08,18.3,18.31,18.01,18.08,84370
2016-11-09,18.1,18.14,17.4,17.77,89458
2016-11-10,17.9,18.01,17.86,17.96,60526
2016-11-11,18.01,18.05,17.85,18.04,73791
2016-11-14,18.11,18.77,17.91,18.57,202187
2016-11-15,18.42,18.5,18.19,18.37,122940
2016-11-16,18.4,19.16,18.34,18.83,211438
2016-11-17,18.55,18.78,18.53,18.59,100445
2016-11-18,18.53,18.59,17.97,18.1,89351
2016-11-21,18.24,18.24,17.93,18.03,73316
2016-11-22,18.02,18.79,17.91,18.46,180780
2016-11-23,18.27,18.45,18.04,18.06,107593
2016-11-24,18.06,18.11,17.72,17.78,103801
2016-11-25,17.63,17.98,17.63,17.94,59691
2016-11-28,17.9,18.07,17.81,17.97,61482
2016-11-29,18.0,18.22,17.88,17.93,79122
2016-11-30,18.01,18.14,17.77,17.87,66461
2016-12-01,17.9,18.36,17.72,18.07,104756
2016-12-02,18.06,18.14,17.82,17.85,52691
2016-12-05,17.73,17.86,17.56,17.59,43892
2016-12-06,17.6,18.0,17.53,17.81,49096
2016-12-07,17.79,18.08,17.67,18.03,53802
2016-12-08,18.03,18.37,17.99,18.05,92357
2016-12-09,18.06,18.46,17.95,18.36,123731
2016-12-12,18.32,18.32,17.22,17.43,101247
2016-12-13,17.31,17.39,16.92,17.26,47731
2016-12-14,17.21,17.28,16.72,16.77,64913
2016-12-15,16.57,16.97,16.5,16.6,67985
2016-12-16,16.62,17.08,16.57,16.94,90110
2016-12-19,16.81,16.94,16.69,16.76,41181
2016-12-20,16.8,16.87,16.64,16.78,37225
2016-12-21,16.79,17.02,16.79,16.88,38744
2016-12-22,16.92,17.16,16.76,17.09,53213
2016-12-23,16.89,17.01,16.59,16.72,53202
2016-12-26,16.7,16.87,16.52,16.87,38283
2016-12-27,16.79,16.93,16.77,16.86,28761
2016-12-28,16.86,16.87,16.62,16.67,26101
2016-12-29,16.72,16.75,16.53,16.58,32268
2016-12-30,16.58,16.73,16.47,16.58,28659
2017-01-03,16.59,16.94,16.59,16.8,41414
2017-01-04,16.91,16.91,16.72,16.86,46312
2017-01-05,16.85,16.88,16.72,16.86,35862
2017-01-06,16.87,16.9,16.59,16.63,40459
2017-01-09,16.61,16.85,16.54,16.68,44740
2017-01-10,16.72,16.86,16.66,16.71,36188
2017-01-11,16.72,16.85,16.5,16.51,45407
2017-01-12,16.5,16.57,15.42,15.55,132343
2017-01-13,15.54,15.54,14.82,15.01,109970
2017-01-16,14.92,15.01,13.82,14.49,93460
2017-01-17,14.5,14.73,14.23,14.71,50662
2017-01-18,14.66,14.66,14.41,14.48,33628
2017-01-19,14.48,15.1,14.41,14.57,72861
2017-01-20,14.42,14.81,14.39,14.69,49096
2017-01-23,14.71,14.94,14.71,14.9,49378
2017-01-24,14.89,14.89,14.37,14.49,78898
2017-01-25,14.44,14.63,14.41,14.49,53019
2017-01-26,14.48,14.63,14.42,14.55,40837
2017-02-03,14.58,14.63,14.44,14.59,29333
2017-02-06,14.61,14.95,14.6,14.92,61964
2017-02-07,14.88,15.2,14.79,15.0,71020
2017-02-08,15.22,15.71,15.12,15.48,149590
2017-02-09,15.34,15.48,15.28,15.41,75995
2017-02-10,15.39,15.63,15.3,15.36,62242
2017-02-13,15.37,15.45,15.16,15.42,48055
2017-02-14,15.42,15.42,15.2,15.26,54519
2017-02-15,15.18,15.18,14.98,15.02,69725
2017-02-16,15.04,15.15,15.02,15.08,36030
2017-02-17,15.12,15.2,15.0,15.01,49769
2017-02-20,15.09,15.57,15.0,15.4,135516
2017-02-21,15.32,15.77,15.25,15.66,138512
2017-02-22,15.69,15.71,15.49,15.55,78566
2017-02-23,15.55,15.67,15.48,15.58,62150
2017-02-24,15.57,15.84,15.48,15.72,95077
2017-02-27,15.74,16.18,15.65,15.84,121668
2017-02-28,15.87,16.17,15.72,16.04,120185
2017-03-01,15.94,16.17,15.85,15.89,94604
2017-03-02,15.99,16.02,15.59,15.64,90702
2017-03-03,15.54,15.72,15.47,15.68,54320
2017-03-06,15.64,15.81,15.57,15.78,50700
2017-03-07,15.77,15.79,15.62,15.69,44883
2017-03-08,15.74,15.77,15.52,15.56,42813
2017-03-09,15.46,15.61,15.35,15.39,51873
