strategy,full_return,full_annual_return,full_max_drawdown,full_trades,full_final_value,early_return,early_max_drawdown,recent_return,recent_max_drawdown,recent_trades
breakout_20_10_s0.08_w1.00,3.581652486993762,0.1712873988153112,-0.4661616349498067,38,458165.2486993762,2.5657036872187553,-0.37326195364953996,0.28952605012500165,-0.3676961355356558,23
breakout_20_10_s0.08_w0.67,2.459960702696257,0.13761641694849813,-0.3417643629139095,38,345996.0702696257,1.8214491609112522,-0.2658341261840462,0.2289800524050014,-0.2727696710893187,23
breakout_120_10_s0.10_w1.00,2.3458142366100025,0.1336590644906661,-0.26970326182562704,8,334581.42366100027,2.4457873415624998,-0.12093972523356246,-0.02854800731249929,-0.2684164680719197,7
breakout_120_20_s0.10_w1.00,2.3458142366100025,0.1336590644906661,-0.26970326182562704,8,334581.42366100027,2.4457873415624998,-0.12093972523356246,-0.02854800731249929,-0.2684164680719197,7
breakout_120_40_s0.10_w1.00,2.3458142366100025,0.1336590644906661,-0.26970326182562704,8,334581.42366100027,2.4457873415624998,-0.12093972523356246,-0.02854800731249929,-0.2684164680719197,7
breakout_120_60_s0.10_w1.00,2.3458142366100025,0.1336590644906661,-0.26970326182562704,8,334581.42366100027,2.4457873415624998,-0.12093972523356246,-0.02854800731249929,-0.2684164680719197,7
breakout_20_10_s0.10_w1.00,2.297845759218759,0.13195983278389978,-0.5307809156739212,37,329784.5759218759,2.9277679343737524,-0.38153215708733196,-0.16003496105999793,-0.429373941258363,23
breakout_120_10_s0.08_w1.00,2.2641478436362528,0.13075282474559002,-0.2917892105707053,8,326414.7843636253,2.4457873415624998,-0.12093972523356246,-0.05283008274374923,-0.2905400746595313,7
breakout_120_20_s0.08_w1.00,2.2641478436362528,0.13075282474559002,-0.2917892105707053,8,326414.7843636253,2.4457873415624998,-0.12093972523356246,-0.05283008274374923,-0.2905400746595313,7
breakout_120_40_s0.08_w1.00,2.2641478436362528,0.13075282474559002,-0.2917892105707053,8,326414.7843636253,2.4457873415624998,-0.12093972523356246,-0.05283008274374923,-0.2905400746595313,7
breakout_120_60_s0.08_w1.00,2.2641478436362528,0.13075282474559002,-0.2917892105707053,8,326414.7843636253,2.4457873415624998,-0.12093972523356246,-0.05283008274374923,-0.2905400746595313,7
breakout_40_10_s0.08_w1.00,1.8495307398262577,0.11490905001917562,-0.4303167219220164,21,284953.0739826258,2.511379975601251,-0.20637710216575686,-0.18701239371749867,-0.28999379197856723,15
breakout_20_10_s0.08_w0.50,1.807789240087304,0.11320135012417976,-0.2668233748174345,38,280778.9240087304,1.3781290666123018,-0.20349885572722073,0.1822975717013009,-0.21232281509272088,23
breakout_120_10_s0.12_w1.00,1.7756624477475031,0.11187143687959233,-0.3146406335842234,8,277566.2447747503,2.4457873415624998,-0.12093972523356246,-0.19628974199249893,-0.31266873299052217,7
breakout_120_20_s0.12_w1.00,1.7756624477475031,0.11187143687959233,-0.3146406335842234,8,277566.2447747503,2.4457873415624998,-0.12093972523356246,-0.19628974199249893,-0.31266873299052217,7
breakout_120_40_s0.12_w1.00,1.7756624477475031,0.11187143687959233,-0.3146406335842234,8,277566.2447747503,2.4457873415624998,-0.12093972523356246,-0.19628974199249893,-0.31266873299052217,7
breakout_120_60_s0.12_w1.00,1.7756624477475031,0.11187143687959233,-0.3146406335842234,8,277566.2447747503,2.4457873415624998,-0.12093972523356246,-0.19628974199249893,-0.31266873299052217,7
breakout_20_10_s0.10_w0.67,1.7564659351200076,0.1110701839790369,-0.39710849712989466,37,275646.59351200075,1.9890320451300032,-0.2720875927203502,-0.07229666998124884,-0.3097164412376145,23
ma_60_180_w1.00,1.6549258965525016,0.10674689527247172,-0.6572542115100811,7,265492.58965525014,1.3711339424250006,-0.5328061560932364,0.12669340656375017,-0.6557449591938326,4
breakout_20_10_s0.05_w1.00,1.6473439674900123,0.10641816346240596,-0.5027379510181993,46,264734.39674900123,1.5976931099512552,-0.3426347132309899,0.01621088366625223,-0.431563505315355,27
breakout_120_10_s0.10_w0.67,1.6012415868637517,0.10440093506991022,-0.19031420534265742,8,260124.1586863752,1.64356909353,-0.10721810777872501,-0.016636119142499184,-0.18896652871503755,7
breakout_120_20_s0.10_w0.67,1.6012415868637517,0.10440093506991022,-0.19031420534265742,8,260124.1586863752,1.64356909353,-0.10721810777872501,-0.016636119142499184,-0.18896652871503755,7
breakout_120_40_s0.10_w0.67,1.6012415868637517,0.10440093506991022,-0.19031420534265742,8,260124.1586863752,1.64356909353,-0.10721810777872501,-0.016636119142499184,-0.18896652871503755,7
breakout_120_60_s0.10_w0.67,1.6012415868637517,0.10440093506991022,-0.19031420534265742,8,260124.1586863752,1.64356909353,-0.10721810777872501,-0.016636119142499184,-0.18896652871503755,7
breakout_120_10_s0.08_w0.67,1.5656389001662516,0.10282108119610656,-0.2060435329968256,8,256563.89001662517,1.64356909353,-0.10721810777872501,-0.027508857772499007,-0.20440014221454683,7
breakout_120_20_s0.08_w0.67,1.5656389001662516,0.10282108119610656,-0.2060435329968256,8,256563.89001662517,1.64356909353,-0.10721810777872501,-0.027508857772499007,-0.20440014221454683,7
breakout_120_40_s0.08_w0.67,1.5656389001662516,0.10282108119610656,-0.2060435329968256,8,256563.89001662517,1.64356909353,-0.10721810777872501,-0.027508857772499007,-0.20440014221454683,7
breakout_120_60_s0.08_w0.67,1.5656389001662516,0.10282108119610656,-0.2060435329968256,8,256563.89001662517,1.64356909353,-0.10721810777872501,-0.027508857772499007,-0.20440014221454683,7
breakout_40_20_s0.08_w1.00,1.5247321847550048,0.1009814243077014,-0.47417973137716757,21,252473.21847550047,2.511379975601251,-0.20637710216575686,-0.28022050762874917,-0.3398822803520021,15
breakout_60_10_s0.08_w1.00,1.4818522911075056,0.09902412979988373,-0.4960146158245575,17,248185.22911075054,1.9025831257875012,-0.2717412262175347,-0.14242057244999928,-0.310818512801653,11
breakout_120_10_s0.05_w1.00,1.4638970205112534,0.09819552973446033,-0.3564074244992167,10,246389.70205112532,1.6598801659050002,-0.23819387393329636,-0.07504314465374906,-0.2905400746595313,8
breakout_120_20_s0.05_w1.00,1.4638970205112534,0.09819552973446033,-0.3564074244992167,10,246389.70205112532,1.6598801659050002,-0.23819387393329636,-0.07504314465374906,-0.2905400746595313,8
breakout_120_40_s0.05_w1.00,1.4638970205112534,0.09819552973446033,-0.3564074244992167,10,246389.70205112532,1.6598801659050002,-0.23819387393329636,-0.07504314465374906,-0.2905400746595313,8
breakout_120_60_s0.05_w1.00,1.4638970205112534,0.09819552973446033,-0.3564074244992167,10,246389.70205112532,1.6598801659050002,-0.23819387393329636,-0.07504314465374906,-0.2905400746595313,8
breakout_20_10_s0.12_w1.00,1.4192774696587578,0.09611275502781358,-0.5493827419385215,37,241927.74696587576,2.5069614407662524,-0.4034724347168976,-0.30932931451499823,-0.45075521681654956,23
breakout_20_10_s0.10_w0.50,1.383427056449754,0.09441421953494111,-0.3137529951559391,37,238342.70564497542,1.4933904074960016,-0.20871332741231438,-0.044047928419498894,-0.23987158768585065,23
breakout_60_20_s0.08_w1.00,1.3783913089537556,0.09417380260765196,-0.4960146158245575,17,237839.13089537557,1.9025831257875012,-0.2717412262175347,-0.17771280886124907,-0.310818512801653,11
breakout_90_10_s0.08_w1.00,1.374380506980005,0.09398199212313907,-0.40264492936129054,13,237438.0506980005,2.2612279321125004,-0.1478032501515959,-0.271723310819999,-0.3015622230836703,11
breakout_40_10_s0.08_w0.67,1.3555539365062534,0.093077741637555,-0.3097519417613587,21,235555.39365062534,1.6836128554050007,-0.14331590138439504,-0.11940600554999958,-0.20873142296850744,15
breakout_20_10_s0.05_w0.67,1.3532908724887562,0.09296860976542787,-0.36754469590317684,46,235329.08724887564,1.2415495834462522,-0.24289587858000614,0.04252838989000152,-0.3086333738629137,27
breakout_120_10_s0.12_w0.67,1.3010957437725015,0.09042513558224319,-0.22349956792892153,8,230109.57437725013,1.64356909353,-0.10721810777872501,-0.12703808841749942,-0.2220194348413469,7
breakout_120_20_s0.12_w0.67,1.3010957437725015,0.09042513558224319,-0.22349956792892153,8,230109.57437725013,1.64356909353,-0.10721810777872501,-0.12703808841749942,-0.2220194348413469,7
breakout_120_40_s0.12_w0.67,1.3010957437725015,0.09042513558224319,-0.22349956792892153,8,230109.57437725013,1.64356909353,-0.10721810777872501,-0.12703808841749942,-0.2220194348413469,7
breakout_120_60_s0.12_w0.67,1.3010957437725015,0.09042513558224319,-0.22349956792892153,8,230109.57437725013,1.64356909353,-0.10721810777872501,-0.12703808841749942,-0.2220194348413469,7
breakout_60_40_s0.08_w1.00,1.2864537993937533,0.0897023473419023,-0.49642761326681756,17,228645.37993937533,1.789615342417501,-0.2723176952446865,-0.17771280886124907,-0.310818512801653,11
breakout_90_20_s0.08_w1.00,1.276075542251255,0.08918751654251622,-0.40321311503371604,13,227607.55422512552,2.2612279321125004,-0.1478032501515959,-0.30088332129374884,-0.3019555742443291,11
breakout_90_40_s0.08_w1.00,1.276075542251255,0.08918751654251622,-0.40321311503371604,13,227607.55422512552,2.2612279321125004,-0.1478032501515959,-0.30088332129374884,-0.3019555742443291,11
breakout_90_60_s0.08_w1.00,1.276075542251255,0.08918751654251622,-0.40321311503371604,13,227607.55422512552,2.2612279321125004,-0.1478032501515959,-0.30088332129374884,-0.3019555742443291,11
breakout_20_10_s0.12_w0.67,1.2423842981550046,0.08750158191851565,-0.40634409028945556,37,224238.42981550045,1.765512951345002,-0.2890556113938623,-0.18979528766674858,-0.3208143952264702,23
ma_60_180_w0.67,1.2012935718712505,0.08541437182150258,-0.555487417776873,7,220129.35718712505,0.8877324567150005,-0.46258700904286687,0.16406676204750026,-0.5562352030730392,4
breakout_120_10_s0.10_w0.50,1.1895197339025012,0.08480988272737555,-0.14774100629283482,8,218951.97339025012,1.213110521415,-0.09549665031623762,-0.011454759663749758,-0.14289814766390418,7
breakout_120_20_s0.10_w0.50,1.1895197339025012,0.08480988272737555,-0.14774100629283482,8,218951.97339025012,1.213110521415,-0.09549665031623762,-0.011454759663749758,-0.14289814766390418,7
breakout_120_40_s0.10_w0.50,1.1895197339025012,0.08480988272737555,-0.14774100629283482,8,218951.97339025012,1.213110521415,-0.09549665031623762,-0.011454759663749758,-0.14289814766390418,7
breakout_120_60_s0.10_w0.50,1.1895197339025012,0.08480988272737555,-0.14774100629283482,8,218951.97339025012,1.213110521415,-0.09549665031623762,-0.011454759663749758,-0.14289814766390418,7
breakout_40_20_s0.08_w0.67,1.1799768178575034,0.08431779192842481,-0.3440011544981355,21,217997.68178575032,1.6836128554050007,-0.14331590138439504,-0.18622046605499942,-0.23714659306859315,15
breakout_120_10_s0.08_w0.50,1.1705780456662507,0.08383124356314475,-0.1598277818584584,8,217057.80456662507,1.213110521415,-0.09549665031623762,-0.018764376397249483,-0.15478783739261945,7
breakout_120_20_s0.08_w0.50,1.1705780456662507,0.08383124356314475,-0.1598277818584584,8,217057.80456662507,1.213110521415,-0.09549665031623762,-0.018764376397249483,-0.15478783739261945,7
breakout_120_40_s0.08_w0.50,1.1705780456662507,0.08383124356314475,-0.1598277818584584,8,217057.80456662507,1.213110521415,-0.09549665031623762,-0.018764376397249483,-0.15478783739261945,7
breakout_120_60_s0.08_w0.50,1.1705780456662507,0.08383124356314475,-0.1598277818584584,8,217057.80456662507,1.213110521415,-0.09549665031623762,-0.018764376397249483,-0.15478783739261945,7
breakout_20_10_s0.08_w0.33,1.164246150889253,0.08350239343050281,-0.1835794194033008,38,216424.6150889253,0.9192965075742512,-0.1394444615515237,0.13232058349030074,-0.1493549506724078,23
breakout_120_10_s0.15_w1.00,1.1592137711700032,0.08324041878051558,-0.43385426513642406,8,215921.37711700035,2.07763632984375,-0.20812120738024975,-0.2974372220137491,-0.3936313160591839,7
breakout_120_20_s0.15_w1.00,1.1592137711700032,0.08324041878051558,-0.43385426513642406,8,215921.37711700035,2.07763632984375,-0.20812120738024975,-0.2974372220137491,-0.3936313160591839,7
breakout_120_40_s0.15_w1.00,1.1592137711700032,0.08324041878051558,-0.43385426513642406,8,215921.37711700035,2.07763632984375,-0.20812120738024975,-0.2974372220137491,-0.3936313160591839,7
breakout_120_60_s0.15_w1.00,1.1592137711700032,0.08324041878051558,-0.43385426513642406,8,215921.37711700035,2.07763632984375,-0.20812120738024975,-0.2974372220137491,-0.3936313160591839,7
breakout_120_20_s0.20_w1.00,1.158916764622504,0.08322494017789661,-0.46438594871477407,7,215891.67646225038,2.07763632984375,-0.20812120738024975,-0.29497099144499883,-0.46172403356160574,6
breakout_120_40_s0.20_w1.00,1.158916764622504,0.08322494017789661,-0.46438594871477407,7,215891.67646225038,2.07763632984375,-0.20812120738024975,-0.29497099144499883,-0.46172403356160574,6
breakout_120_60_s0.20_w1.00,1.158916764622504,0.08322494017789661,-0.46438594871477407,7,215891.67646225038,2.07763632984375,-0.20812120738024975,-0.29497099144499883,-0.46172403356160574,6
breakout_60_10_s0.08_w0.67,1.1521114805362522,0.08286975655610873,-0.36533267473936537,17,215211.14805362522,1.3688807730975001,-0.19210123369776128,-0.0930863389949993,-0.21712515477158484,11
breakout_40_10_s0.10_w1.00,1.1384411230237537,0.08215321670578613,-0.5023622430601011,21,213844.11230237538,2.2315192625700013,-0.2479914550747496,-0.3361286240324992,-0.341904062362522,15
breakout_120_10_s0.05_w0.67,1.1124223738875023,0.080778012869406,-0.25790839296881213,10,211242.23738875022,1.2044355192675003,-0.17004980407779818,-0.04055138567999905,-0.20440014221454683,8
breakout_120_20_s0.05_w0.67,1.1124223738875023,0.080778012869406,-0.25790839296881213,10,211242.23738875022,1.2044355192675003,-0.17004980407779818,-0.04055138567999905,-0.20440014221454683,8
breakout_120_40_s0.05_w0.67,1.1124223738875023,0.080778012869406,-0.25790839296881213,10,211242.23738875022,1.2044355192675003,-0.17004980407779818,-0.04055138567999905,-0.20440014221454683,8
breakout_120_60_s0.05_w0.67,1.1124223738875023,0.080778012869406,-0.25790839296881213,10,211242.23738875022,1.2044355192675003,-0.17004980407779818,-0.04055138567999905,-0.20440014221454683,8
breakout_20_10_s0.05_w0.50,1.1092287634475535,0.08060817216009508,-0.2889469105573305,46,210922.87634475535,1.007804055582552,-0.18655343028205473,0.05094350129490155,-0.23652229245729725,27
ma_40_120_w1.00,1.1083273526812518,0.08056019216231203,-0.7037077178565884,14,210832.73526812517,0.8929173430125006,-0.5107888706145326,0.11399861333250061,-0.4942369321015996,8
breakout_20_10_s0.20_w1.00,1.0991927676600066,0.08007293966736384,-0.6105837736793628,35,209919.27676600066,1.9665938127712521,-0.4034724347168976,-0.2861776247849982,-0.4966909019795538,21
breakout_60_20_s0.08_w0.67,1.0928282778562521,0.07973232385104967,-0.36533267473936537,17,209282.8277856252,1.3688807730975001,-0.19210123369776128,-0.11739661449749927,-0.21712515477158484,11
breakout_90_10_s0.08_w0.67,1.0792968158700025,0.07900504918224716,-0.3034398705984539,13,207929.68158700026,1.5485752798425003,-0.12039078269914454,-0.18410144497874903,-0.209130091325509,11
breakout_20_10_s0.12_w0.50,1.0631984423752536,0.07813426590473993,-0.3216931900184178,37,206319.84423752537,1.3685603393940018,-0.22218461371566217,-0.12867062365919846,-0.24844853539123213,23
breakout_40_10_s0.08_w0.50,1.0559021961150021,0.07773759511715372,-0.23821522550395158,21,205590.21961150022,1.2516796641375003,-0.10738779928667672,-0.08944120711809944,-0.16375133444071793,15
breakout_60_40_s0.08_w0.67,1.0349466232950024,0.07659125997310556,-0.3648486330535581,17,203494.66232950022,1.3062246885675006,-0.19213818502351163,-0.11739661449749927,-0.21712515477158484,11
breakout_20_10_s0.15_w1.00,1.027526228381256,0.07618280402775124,-0.5764705283408394,36,202752.62283812562,1.9665938127712521,-0.4034724347168976,-0.31364800564499806,-0.4550363369121734,22
breakout_90_20_s0.08_w0.67,1.022591621902503,0.07591043613907589,-0.3034398705984539,13,202259.1621902503,1.5485752798425003,-0.12039078269914454,-0.20631530263499898,-0.21079068743414953,11
breakout_90_40_s0.08_w0.67,1.022591621902503,0.07591043613907589,-0.3034398705984539,13,202259.1621902503,1.5485752798425003,-0.12039078269914454,-0.20631530263499898,-0.21079068743414953,11
breakout_90_60_s0.08_w0.67,1.022591621902503,0.07591043613907589,-0.3034398705984539,13,202259.1621902503,1.5485752798425003,-0.12039078269914454,-0.20631530263499898,-0.21079068743414953,11
ma_40_120_w0.67,1.0191644723812514,0.07572092241624806,-0.5975523893014929,14,201916.44723812514,0.7033510670062504,-0.44587298210257753,0.1785344496975012,-0.38413893650180414,8
ma_stop_40_120_s0.08_w0.67,1.0179569532600108,0.07565408062497925,-0.5470243791033118,71,201795.6953260011,0.8772082692750032,-0.38926855947237987,0.061065524812504934,-0.4026536857341989,47
ma_stop_40_120_s0.10_w0.67,1.006655261040006,0.07502673587213038,-0.5300093169185636,55,200665.5261040006,0.9727527762225012,-0.36470494497384276,0.014163665343752019,-0.3892215678214321,36
breakout_120_10_s0.12_w0.50,1.0016978647162516,0.07475055658765117,-0.17353479090363952,8,200169.78647162515,1.213110521415,-0.09549665031623762,-0.0904473355163995,-0.1689993901555501,7
breakout_120_20_s0.12_w0.50,1.0016978647162516,0.07475055658765117,-0.17353479090363952,8,200169.78647162515,1.213110521415,-0.09549665031623762,-0.0904473355163995,-0.1689993901555501,7
breakout_120_40_s0.12_w0.50,1.0016978647162516,0.07475055658765117,-0.17353479090363952,8,200169.78647162515,1.213110521415,-0.09549665031623762,-0.0904473355163995,-0.1689993901555501,7
breakout_120_60_s0.12_w0.50,1.0016978647162516,0.07475055658765117,-0.17353479090363952,8,200169.78647162515,1.213110521415,-0.09549665031623762,-0.0904473355163995,-0.1689993901555501,7
breakout_20_10_s0.20_w0.67,0.9693426646800061,0.07293282699369641,-0.46135776594431566,35,196934.2664680006,1.4118286055737523,-0.2890556113938623,-0.18348763703409843,-0.3619302843627395,21
ma_stop_40_120_s0.12_w0.67,0.9690156376875059,0.07291431825161143,-0.5953080720255424,48,196901.56376875058,0.6997226948887518,-0.4408613730407762,0.1632593124337527,-0.38970152443878237,30
ma_stop_40_120_s0.08_w0.50,0.9633489365573071,0.07259316183199882,-0.4475397466112957,71,196334.8936557307,0.8045051972498016,-0.3115216632286416,0.0875739246615026,-0.31760530291336797,47
breakout_20_10_s0.10_w0.33,0.958497961356853,0.0723175755437806,-0.218829557248977,37,195849.7961356853,0.9878595528856007,-0.14198759318137436,-0.016237452549599074,-0.16203866793180885,23
breakout_40_10_s0.10_w0.67,0.9484016498775012,0.07174203218872277,-0.36498363705399106,21,194840.16498775012,1.5371019496462504,-0.17311646056711028,-0.22888612846124945,-0.2334142822185814,15
breakout_40_20_s0.08_w0.50,0.9347795042625018,0.0709612472846799,-0.2664498844107444,21,193477.95042625017,1.2516796641375003,-0.10738779928667672,-0.14241744887159957,-0.18094461674008294,15
ma_stop_40_120_s0.10_w0.50,0.9326171330356046,0.07083685316337163,-0.43327706981798714,55,193261.71330356045,0.8588638741868513,-0.29200408736545874,0.04263341080465244,-0.3060389256009814,36
breakout_20_10_s0.15_w0.67,0.9289838079112562,0.0706275587659928,-0.428152229369393,36,192898.38079112562,1.4118286055737523,-0.2890556113938623,-0.19352341573924847,-0.3208143952264702,22
ma_60_180_w0.50,0.9287054475075003,0.07061150950202544,-0.4857927874595715,7,192870.54475075004,0.6577302194775001,-0.40872116785471324,0.15737197672750014,-0.48265407254701237,4
ma_stop_40_120_s0.20_w0.67,0.9268753036725037,0.07050593824641949,-0.5746245230468358,28,192687.53036725038,0.8012119958212518,-0.4140651816336933,0.0695677568625015,-0.3834978849518535,16
breakout_60_10_s0.08_w0.50,0.9168325446150016,0.06992502053382799,-0.28644340303032756,17,191683.25446150015,1.05384364839,-0.14713386696807895,-0.06502419772774937,-0.16531735185315688,11
ma_stop_40_120_s0.12_w0.50,0.9091177044168548,0.06947690466335965,-0.49282992241487583,48,190911.77044168548,0.6668188024256017,-0.35622658322473216,0.14603487467495224,-0.30805193551004695,30
breakout_120_20_s0.20_w0.67,0.9072495569475019,0.06936814944700531,-0.34102746109022725,7,190724.95569475018,1.396171613655,-0.18450812585227738,-0.20137966655624928,-0.33546800169617147,6
breakout_120_40_s0.20_w0.67,0.9072495569475019,0.06936814944700531,-0.34102746109022725,7,190724.95569475018,1.396171613655,-0.18450812585227738,-0.20137966655624928,-0.33546800169617147,6
