strategy,2021_return,2021_max_drawdown,2021_trades,2022_return,2022_max_drawdown,2022_trades,2023_return,2023_max_drawdown,2023_trades,2024_return,2024_max_drawdown,2024_trades,2025_return,2025_max_drawdown,2025_trades,min_year_return,worst_year_drawdown,pass_year_count
ma_stop_40_120_s0.12_w0.25,-0.03271203779619969,-0.06850970131162608,5,-0.0029246847678000565,-0.08301722237247015,6,0.21072467961570052,-0.0806406596814562,11,-0.008305535373899886,-0.06247699008252707,2,-0.021024339407799908,-0.061101542844160014,4,-0.03271203779619969,-0.08301722237247015,1
ma_40_120_w0.33,-0.03658439121009982,-0.08299555233695431,3,-0.01233435980340003,-0.11248200071747601,3,0.23603180558820003,-0.13847808818542445,1,-0.0068063149318000615,-0.07485419790151895,1,-0.034025640597499685,-0.08697444029342627,2,-0.03658439121009982,-0.13847808818542445,1
ma_stop_40_120_s0.08_w0.33,-0.03766511413829987,-0.08455769409776917,5,-0.025493072664999894,-0.10456879522866916,8,0.2508632095401502,-0.11469061626529752,22,-0.0021136527513001546,-0.07048304977379231,3,-0.017928611997899968,-0.09011729198084471,4,-0.03766511413829987,-0.11469061626529752,1
ma_stop_40_120_s0.12_w0.33,-0.04281260601979997,-0.08953345617388242,5,-0.005715696331400011,-0.11012935202918805,6,0.2750350772679002,-0.10459880160427712,11,-0.012341554717999803,-0.08001019509400978,2,-0.028539094754600036,-0.08200653564842593,4,-0.04281260601979997,-0.11012935202918805,1
ma_stop_20_120_s0.12_w0.33,-0.04166337596449976,-0.06021737510469975,5,-0.04905435070749986,-0.12945998985286647,7,0.21052260541680012,-0.13354997796088885,11,-0.004281261646899792,-0.08340087552918227,2,-0.04169297223200008,-0.06008844367244546,4,-0.04905435070749986,-0.13354997796088885,1
ma_stop_10_120_s0.12_w0.25,-0.049861129378499625,-0.060176812493636364,5,0.048014355160600486,-0.07750819821269238,7,0.2070402496338004,-0.0806406596814562,11,-0.026876433549999912,-0.05933491078698135,2,-0.03275094738770001,-0.039999602625491584,3,-0.049861129378499625,-0.0806406596814562,1
ma_40_120_w0.50,-0.058860476241599846,-0.12688785498338995,3,-0.022334913614200147,-0.168874979821791,3,0.36100930437,-0.1863350085850481,1,-0.010673719017499916,-0.11319405614029605,1,-0.05208766538624987,-0.12977948930830638,2,-0.058860476241599846,-0.1863350085850481,1
ma_stop_40_120_s0.08_w0.50,-0.05914742475719981,-0.1278362159109266,5,-0.043111841516349614,-0.1562660791209154,8,0.3669794635742014,-0.1687413125027225,22,-0.002127037908749796,-0.10553303696673667,3,-0.03036182803874954,-0.13377289735330838,4,-0.05914742475719981,-0.1687413125027225,1
ma_stop_10_120_s0.08_w0.33,-0.05918677808959982,-0.07708732917604781,5,0.030622914341200014,-0.1067155286931327,8,0.24554125512185032,-0.11469061626529752,22,-0.030576762149999825,-0.07084334448466952,5,-0.031709434822899674,-0.057305315770286434,5,-0.05918677808959982,-0.11469061626529752,1
ma_10_120_w0.33,-0.05979452943319974,-0.07548902904777689,3,0.09936850329899993,-0.09216648923887108,4,0.22907312748194997,-0.13847808818542445,1,-0.029747355242100038,-0.07141540203427343,1,-0.04470248004089972,-0.05533510393487903,3,-0.05979452943319974,-0.13847808818542445,1
ma_stop_40_120_s0.20_w0.50,-0.06034929925665,-0.1288100778935452,4,-0.01384453080945025,-0.16770183839446778,4,0.2845897212600004,-0.1863919838184258,5,-0.010673719017499916,-0.11319405614029605,1,-0.05208766538624987,-0.12977948930830638,2,-0.06034929925665,-0.1863919838184258,1
ma_stop_40_60_s0.12_w0.25,-0.03853348701599957,-0.09157853508771892,7,-0.02365165050579987,-0.08493235474409097,6,0.20802875523870035,-0.0806406596814562,11,-0.04969467359049984,-0.060673187724310525,4,-0.06102176355349975,-0.06543013577669975,7,-0.06102176355349975,-0.09157853508771892,1
price_ma_120_w0.33,-0.062168761475399625,-0.07756323984044769,5,-0.004757054165599683,-0.11424077189085326,9,0.20717470217535028,-0.13847808818542445,4,-0.05376990121559999,-0.07309594238062515,3,-0.025605930677199962,-0.0737489773307351,6,-0.062168761475399625,-0.13847808818542445,1
ma_stop_10_120_s0.12_w0.33,-0.06530260433769985,-0.07866095225140943,5,0.06118021690860043,-0.09951591320922608,7,0.26971312284960036,-0.10459880160427712,11,-0.03489436361499987,-0.07634136923106272,2,-0.04470248004089972,-0.05533510393487903,3,-0.06530260433769985,-0.10459880160427712,1
